id,key,value,type
5156316,cycleway,opposite,regular
5156316,highway,living_street,regular
5156316,maxspeed,20,regular
5156316,name,Place du Bourg-de-Four,regular
5156316,oneway,yes,regular
5156319,bicycle,yes,regular
5156319,highway,pedestrian,regular
5156319,name,Rue Tabazan,regular
5156320,leisure,park,regular
5156320,name,Promenade du Pin,regular
5156321,bridge,yes,regular
5156321,highway,living_street,regular
5156321,layer,1,regular
5156321,maxspeed,20,regular
5156321,name,Promenade du Pin,regular
5156322,highway,residential,regular
5156322,maxspeed,30,regular
5156322,name,Rue de Saint-Victor,regular
5170038,layer,-1,regular
5170038,name,Ile Jean-Jacques-Rousseau,regular
5170039,name,L'Ile,regular
5170129,cycleway,opposite,regular
5170129,highway,living_street,regular
5170129,maxspeed,20,regular
5170129,name,Rue Henri-Fazy,regular
5170129,oneway,yes,regular
5170131,highway,living_street,regular
5170131,maxspeed,20,regular
5170131,name,Rue Jean-Daniel-Colladon,regular
5170131,oneway,yes,regular
5170132,area,yes,regular
5170132,highway,pedestrian,regular
5170132,name,Promenade de la Treille,regular
5170142,access,no,regular
5170142,highway,service,regular
5170142,name,Cours de Rive,regular
5170142,psv,yes,regular
5170143,highway,residential,regular
5170143,lanes,3,regular
5170143,psv:backward,1,lanes
5170143,name,Avenue de Frontenex,regular
5170144,left,lane,cycleway
5170144,highway,secondary,regular
5170144,lanes,3,regular
5170144,lit,yes,regular
5170144,name,Rue de Villereuse,regular
5172438,highway,residential,regular
5172438,maxspeed,30,regular
5172438,name,Rue de la Maladière,regular
5172438,oneway,yes,regular
5172439,highway,residential,regular
5172439,maxspeed,30,regular
5172439,name,Rue Hugo-De-Senger,regular
5172439,oneway,yes,regular
5172441,highway,residential,regular
5172441,name,Rue Prévost-Martin,regular
5172441,oneway,yes,regular
5172442,highway,residential,regular
5172442,maxspeed,30,regular
5172442,name,Rue de la Ferme,regular
5172443,highway,residential,regular
5172443,maxspeed,30,regular
5172443,name,Rue de la Colline,regular
5172443,oneway,yes,regular
5172444,highway,residential,regular
5172444,maxspeed,30,regular
5172444,name,Rue Blanche,regular
5172444,oneway,yes,regular
5172445,highway,residential,regular
5172445,maxspeed,30,regular
5172445,name,Rue de l'Aubépine,regular
